id,名称,武器,皮肤,磨损,good_id,yyyp_id,自选,持仓,备注,最新价格,在售量
135,SSG 08 | 鬼脸天蛾 (崭新出厂),,,,2312,51808,0,0,,204.42,109
136,SSG 08 | 迂回路线 (崭新出厂),,,,2316,50421,0,0,,273.8,295
137,SSG 08 | 幽灵战士 (崭新出厂),,,,2326,46889,0,0,,99.3,963
138,法玛斯 | 湖蓝涂装 (崭新出厂),,,,749,50128,0,0,,67.0,332
139,法玛斯 | 灯神 (崭新出厂),,,,754,46364,0,0,,365.0,129
140,法玛斯 | 蓝巢 (崭新出厂),,,,760,,0,0,,98.9,302
141,法玛斯 | 死亡之舞 (崭新出厂),,,,764,47730,0,0,,95.05,63
142,法玛斯 | 神经网 (崭新出厂),,,,774,46738,0,0,,75.49,132
143,法玛斯 | 电子脉冲 (崭新出厂),,,,778,1607,0,0,,219.5,723
144,法玛斯 | 防滚架 (崭新出厂),,,,783,45751,0,0,,965.41,86
145,M4A1消音版 | 翼蜥 (崭新出厂),,,,1201,2397,0,0,,241.88,572
146,M4A1消音版 | 血虎 (崭新出厂),,,,1205,44099,0,0,,222.59,393
147,M4A1消音版 | 北方森林 (崭新出厂),,,,1209,45903,0,0,,119.49,397
148,M4A1消音版 | 简报 (崭新出厂),,,,1214,45883,0,0,,470.0,246
149,M4A1消音版 | 女火神之炽焰 (崭新出厂),,,,1221,47389,0,0,,1653.03,281
150,M4A1消音版 | 毁灭者 2000 (崭新出厂),,,,1233,2148,0,0,,338.5,1149
151,M4A1消音版 | 金蛇缠绕 (崭新出厂),,,,1243,2593,0,0,,1597.8,332
152,格洛克 18 型 | 蓝色裂纹 (崭新出厂),,,,1089,51297,0,0,,284.99,37
153,格洛克 18 型 | 黄铜 (崭新出厂),,,,1094,48337,0,0,,915.92,63
154,格洛克 18 型 | 红苹果 (崭新出厂),,,,1102,871,0,0,,13.2,4373
155,格洛克 18 型 | 亡者之寝 (崭新出厂),,,,1106,1590,0,0,,53.79,261
156,格洛克 18 型 | 渐变之色 (崭新出厂),,,,1116,50998,0,0,,10997.99,138
157,格洛克 18 型 | 铁之作 (崭新出厂),,,,1127,47356,0,0,,333.0,749
158,格洛克 18 型 | 噩梦之夜 (崭新出厂),,,,1132,52441,0,0,,320.99,59
159,MP9 | 生化泄漏 (崭新出厂),,,,13,1934,0,0,,4.98,826
160,MP9 | 黑暗时代 (崭新出厂),,,,1588,51248,0,0,,478.0,34
161,MP9 | 飞驰 (崭新出厂),,,,1591,10029,0,0,,39.03,112
162,MP9 | 致命毒药 (崭新出厂),,,,1595,14897,0,0,,71.57,110
163,MP9 | 焦油缠绕 (崭新出厂),,,,1605,2090,0,0,,120.5,199
164,MP9 | 绿色格纹 (崭新出厂),,,,1610,46758,0,0,,61.99,15
165,MP9 | 赤红新星 (崭新出厂),,,,1614,43348,0,0,,2099.83,70
166,MP9 | 蛊惑之色 (崭新出厂),,,,1616,2294,0,0,,116.8,502
167,MP9 | 橘皮涂装 (崭新出厂),,,,1619,50529,0,0,,31.0,327
168,MP9 | 潘多拉魔盒 (崭新出厂),,,,1623,2242,0,0,,998.0,46
169,加利尔 AR | 水蓝阶地 (崭新出厂),,,,994,45947,0,0,,1833.94,7
170,加利尔 AR | 地狱看门犬 (崭新出厂),,,,1004,,0,0,,1255.0,267
171,加利尔 AR | 深红海啸 (崭新出厂),,,,1012,,0,0,,96.38,152
172,加利尔 AR | 火线冲锋 (崭新出厂),,,,1021,,0,0,,99.9,465
173,加利尔 AR | 隐蔽猎手 (崭新出厂),,,,1026,56904,0,0,,36.25,14
174,加利尔 AR | 神祇 (崭新出厂),,,,1030,5876,0,0,,53.8,581
175,加利尔 AR | 火箭冰棒 (崭新出厂),,,,1039,,0,0,,74.8,523
176,加利尔 AR | 贤者涂装 (崭新出厂),,,,1044,45061,0,0,,18.58,626
177,陆军中尉普里米罗 | 巴西第一营,,,,13786,101022,0,0,,739.5,640
178,印花 | G2 Esports（全息）| 2024年上海锦标赛,,,,20838,110110,1,0,,471.0,34
179,AWP | 巨龙传说 (崭新出厂),,,,8062,,0,0,,78399.0,137
180,AWP | 永恒之枪 (崭新出厂),,,,11828,,0,0,,79386.5,139
181,AK-47 | 流金王朝 (崭新出厂),,,,23872,,0,0,,2899.79,31
182,AK-47 | 二西莫夫 (崭新出厂),,,,9839,,0,0,,1807.9,226
183,Tec-9 | 燃料喷射器 (崭新出厂),,,,6375,,0,0,,328.5,389
184,格洛克 18 型 | 子弹皇后 (崭新出厂),,,,12260,,0,0,,818.49,486
185,USP 消音版 | 紫色 DDPAT (崭新出厂),,,,13660,,0,0,,320.0,893
186,FN57 | 蓝莓樱桃 (崭新出厂),,,,12633,,0,0,,760.0,293
187,沙漠之鹰 | 午夜风暴 (崭新出厂),,,,582,,0,0,,818.5,772
188,FN57 | 怒氓 (崭新出厂),,,,10353,,0,0,,474.5,265
189,USP 消音版 | 倒吊人 (崭新出厂),,,,13281,,0,0,,695.99,338
190,P2000 | 银质 (崭新出厂),,,,1759,,0,0,,608.0,242
191,PP-野牛 | 阿努比斯之审判 (崭新出厂),,,,2052,,0,0,,819.5,102
192,AK-47 | 巴洛克之紫 (崭新出厂),,,,11661,,0,0,,556.38,335
193,USP 消音版 | 蓝图 (崭新出厂),,,,6530,,0,0,,748.0,204
194,M4A4 | 战场之星 (崭新出厂),,,,1362,,0,0,,640.0,648
195,法玛斯 | 幻灭之旅 (崭新出厂),,,,21726,,0,0,,506.0,188
196,USP 消音版 | 小绿怪 (崭新出厂),,,,12716,,0,0,,631.0,590
197,AWP | 精英之作 (崭新出厂),,,,19364,,0,0,,519.99,391
198,M4A1消音版 | 苔藓石英 (崭新出厂),,,,11490,,0,0,,692.99,496
199,挂件 | 丁烷拍档,,,,24065,,0,0,,778.0,144
200,XM1014 | 幽独 (崭新出厂),,,,22266,,0,0,,302.49,636
201,MAC-10 | 表面淬火 (崭新出厂),,,,13710,,0,0,,340.0,67
202,AUG | 变色龙 (崭新出厂),,,,175,,0,0,,565.0,128
203,反恐精英武器箱,,,,433,,0,0,,719.5,206
